"(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)"
"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]"
"[0.2, 0.2, 0.2, 0.4]","[0.2, 0.393, 0.207, 0.2]","[0.2, 0.2, 0.396, 0.204]","[0.4, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.4]","[0.2, 0.2, 0.283, 0.317]","[0.2, 0.398, 0.202, 0.2]","[0.2, 0.2, 0.399, 0.201]","[0.2, 0.2, 0.399, 0.201]","[0.4, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.276, 0.324]","[0.2, 0.388, 0.212, 0.2]","[0.2, 0.2, 0.386, 0.214]","[0.2, 0.298, 0.302, 0.2]","[0.4, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.4]","[0.2, 0.2, 0.2, 0.4]","[0.2, 0.2, 0.399, 0.201]","[0.2, 0.386, 0.214, 0.2]","[0.399, 0.201, 0.2, 0.2]","[0.2, 0.2, 0.347, 0.253]","[0.2, 0.2, 0.2, 0.4]","[0.2, 0.2, 0.388, 0.212]","[0.2, 0.395, 0.205, 0.2]"
"[0.16, 0.16, 0.16, 0.52]","[0.16, 0.514, 0.166, 0.16]","[0.16, 0.251, 0.425, 0.163]","[0.52, 0.16, 0.16, 0.16]","[0.16, 0.16, 0.16, 0.52]","[0.16, 0.16, 0.226, 0.454]","[0.16, 0.516, 0.164, 0.16]","[0.16, 0.16, 0.519, 0.161]","[0.16, 0.16, 0.517, 0.163]","[0.52, 0.16, 0.16, 0.16]","[0.16, 0.16, 0.221, 0.459]","[0.252, 0.419, 0.17, 0.16]","[0.16, 0.188, 0.481, 0.171]","[0.16, 0.333, 0.345, 0.162]","[0.52, 0.16, 0.16, 0.16]","[0.16, 0.16, 0.16, 0.52]","[0.16, 0.16, 0.16, 0.52]","[0.16, 0.16, 0.516, 0.164]","[0.16, 0.506, 0.174, 0.16]","[0.519, 0.161, 0.16, 0.16]","[0.16, 0.16, 0.278, 0.402]","[0.16, 0.16, 0.161, 0.519]","[0.16, 0.201, 0.469, 0.17]","[0.16, 0.512, 0.168, 0.16]"
"[0.128, 0.128, 0.128, 0.616]","[0.128, 0.611, 0.133, 0.128]","[0.128, 0.205, 0.536, 0.131]","[0.616, 0.128, 0.128, 0.128]","[0.128, 0.128, 0.15, 0.594]","[0.128, 0.128, 0.181, 0.563]","[0.128, 0.61, 0.134, 0.128]","[0.128, 0.184, 0.559, 0.129]","[0.128, 0.128, 0.603, 0.141]","[0.606, 0.138, 0.128, 0.128]","[0.128, 0.128, 0.177, 0.567]","[0.202, 0.534, 0.138, 0.128]","[0.128, 0.15, 0.583, 0.139]","[0.128, 0.266, 0.471, 0.135]","[0.607, 0.137, 0.128, 0.128]","[0.128, 0.128, 0.128, 0.616]","[0.128, 0.128, 0.128, 0.616]","[0.128, 0.128, 0.612, 0.132]","[0.128, 0.604, 0.14, 0.128]","[0.519, 0.161, 0.16, 0.16]","[0.128, 0.128, 0.222, 0.522]","[0.128, 0.128, 0.154, 0.59]","[0.128, 0.161, 0.571, 0.14]","[0.169, 0.569, 0.135, 0.128]"
"[0.102, 0.102, 0.102, 0.693]","[0.102, 0.677, 0.118, 0.102]","[0.102, 0.164, 0.628, 0.105]","[0.616, 0.128, 0.128, 0.128]","[0.102, 0.102, 0.128, 0.667]","[0.102, 0.102, 0.179, 0.616]","[0.149, 0.641, 0.107, 0.102]","[0.102, 0.201, 0.593, 0.104]","[0.102, 0.102, 0.682, 0.113]","[0.682, 0.113, 0.102, 0.102]","[0.102, 0.102, 0.142, 0.654]","[0.162, 0.614, 0.123, 0.102]","[0.102, 0.142, 0.641, 0.115]","[0.102, 0.213, 0.577, 0.108]","[0.682, 0.114, 0.102, 0.102]","[0.102, 0.102, 0.152, 0.643]","[0.102, 0.102, 0.102, 0.693]","[0.102, 0.102, 0.69, 0.106]","[0.102, 0.681, 0.114, 0.102]","[0.615, 0.129, 0.128, 0.128]","[0.102, 0.102, 0.214, 0.581]","[0.102, 0.102, 0.123, 0.672]","[0.102, 0.164, 0.621, 0.112]","[0.135, 0.654, 0.109, 0.102]"
"[0.082, 0.082, 0.082, 0.754]","[0.194, 0.629, 0.094, 0.082]","[0.082, 0.131, 0.702, 0.084]","[0.691, 0.105, 0.102, 0.102]","[0.082, 0.082, 0.102, 0.734]","[0.082, 0.082, 0.143, 0.693]","[0.119, 0.703, 0.096, 0.082]","[0.082, 0.161, 0.674, 0.083]","[0.082, 0.082, 0.746, 0.091]","[0.737, 0.099, 0.082, 0.082]","[0.082, 0.082, 0.114, 0.723]","[0.226, 0.595, 0.098, 0.082]","[0.082, 0.114, 0.713, 0.092]","[0.082, 0.17, 0.661, 0.087]","[0.682, 0.114, 0.102, 0.102]","[0.082, 0.082, 0.122, 0.714]","[0.082, 0.082, 0.153, 0.683]","[0.082, 0.134, 0.7, 0.085]","[0.082, 0.744, 0.092, 0.082]","[0.615, 0.129, 0.128, 0.128]","[0.082, 0.082, 0.171, 0.665]","[0.082, 0.082, 0.165, 0.671]","[0.082, 0.16, 0.668, 0.09]","[0.154, 0.677, 0.087, 0.082]"
"[0.066, 0.066, 0.105, 0.763]","[0.222, 0.636, 0.075, 0.066]","[0.066, 0.189, 0.677, 0.068]","[0.691, 0.105, 0.102, 0.102]","[0.066, 0.066, 0.082, 0.787]","[0.066, 0.066, 0.114, 0.754]","[0.095, 0.761, 0.078, 0.066]","[0.066, 0.129, 0.739, 0.066]","[0.066, 0.152, 0.711, 0.073]","[0.737, 0.099, 0.082, 0.082]","[0.066, 0.066, 0.091, 0.778]","[0.181, 0.671, 0.083, 0.066]","[0.066, 0.091, 0.77, 0.074]","[0.066, 0.136, 0.729, 0.07]","[0.682, 0.114, 0.102, 0.102]","[0.066, 0.066, 0.098, 0.771]","[0.066, 0.066, 0.122, 0.746]","[0.066, 0.107, 0.76, 0.068]","[0.066, 0.795, 0.074, 0.066]","[0.615, 0.129, 0.128, 0.128]","[0.066, 0.066, 0.137, 0.732]","[0.066, 0.066, 0.132, 0.737]","[0.066, 0.128, 0.734, 0.072]","[0.123, 0.741, 0.07, 0.066]"
"[0.053, 0.053, 0.084, 0.81]","[0.222, 0.636, 0.075, 0.066]","[0.053, 0.168, 0.725, 0.054]","[0.691, 0.105, 0.102, 0.102]","[0.053, 0.053, 0.066, 0.83]","[0.053, 0.053, 0.091, 0.803]","[0.087, 0.798, 0.062, 0.053]","[0.053, 0.104, 0.79, 0.053]","[0.053, 0.122, 0.768, 0.059]","[0.737, 0.099, 0.082, 0.082]","[0.053, 0.053, 0.073, 0.822]","[0.181, 0.671, 0.083, 0.066]","[0.053, 0.073, 0.815, 0.06]","[0.053, 0.121, 0.77, 0.056]","[0.682, 0.114, 0.102, 0.102]","[0.053, 0.053, 0.084, 0.811]","[0.053, 0.053, 0.098, 0.797]","[0.053, 0.086, 0.808, 0.054]","[0.066, 0.795, 0.074, 0.066]","[0.615, 0.129, 0.128, 0.128]","[0.053, 0.053, 0.11, 0.786]","[0.053, 0.053, 0.135, 0.76]","[0.053, 0.15, 0.74, 0.058]","[0.123, 0.741, 0.07, 0.066]"
"[0.042, 0.042, 0.067, 0.848]","[0.222, 0.636, 0.075, 0.066]","[0.042, 0.134, 0.78, 0.044]","[0.691, 0.105, 0.102, 0.102]","[0.042, 0.042, 0.053, 0.864]","[0.042, 0.042, 0.073, 0.842]","[0.103, 0.805, 0.05, 0.042]","[0.042, 0.083, 0.832, 0.043]","[0.042, 0.098, 0.814, 0.047]","[0.737, 0.099, 0.082, 0.082]","[0.042, 0.042, 0.058, 0.858]","[0.181, 0.671, 0.083, 0.066]","[0.042, 0.058, 0.851, 0.05]","[0.042, 0.141, 0.772, 0.045]","[0.682, 0.114, 0.102, 0.102]","[0.042, 0.042, 0.067, 0.849]","[0.042, 0.042, 0.078, 0.838]","[0.042, 0.069, 0.846, 0.043]","[0.053, 0.835, 0.06, 0.053]","[0.615, 0.129, 0.128, 0.128]","[0.042, 0.042, 0.088, 0.829]","[0.042, 0.042, 0.108, 0.808]","[0.042, 0.12, 0.792, 0.047]","[0.123, 0.741, 0.07, 0.066]"
"[0.034, 0.034, 0.118, 0.814]","[0.222, 0.636, 0.075, 0.066]","[0.034, 0.107, 0.824, 0.036]","[0.691, 0.105, 0.102, 0.102]","[0.034, 0.034, 0.042, 0.891]","[0.034, 0.034, 0.058, 0.874]","[0.103, 0.805, 0.05, 0.042]","[0.034, 0.094, 0.838, 0.035]","[0.034, 0.078, 0.851, 0.038]","[0.737, 0.099, 0.082, 0.082]","[0.034, 0.034, 0.046, 0.886]","[0.181, 0.671, 0.083, 0.066]","[0.034, 0.054, 0.874, 0.04]","[0.034, 0.113, 0.817, 0.036]","[0.682, 0.114, 0.102, 0.102]","[0.034, 0.034, 0.054, 0.879]","[0.034, 0.034, 0.062, 0.87]","[0.034, 0.055, 0.877, 0.035]","[0.053, 0.835, 0.06, 0.053]","[0.615, 0.129, 0.128, 0.128]","[0.034, 0.034, 0.07, 0.863]","[0.034, 0.034, 0.086, 0.846]","[0.034, 0.096, 0.834, 0.038]","[0.123, 0.741, 0.07, 0.066]"
