run,trace,timeslot,payload_bytes,kubernetes_discovery_rx_bytes,route_command_tx_bytes,selected_telemetry_rx_bytes
1,ibg-experiment-20260721T180604Z.jsonl,1,313899,254134,4755,55010
1,ibg-experiment-20260721T180604Z.jsonl,2,313624,254134,4755,54735
1,ibg-experiment-20260721T180604Z.jsonl,3,313474,254134,4755,54585
1,ibg-experiment-20260721T180604Z.jsonl,4,313322,254134,4755,54433
1,ibg-experiment-20260721T180604Z.jsonl,5,312979,254134,4755,54090
1,ibg-experiment-20260721T180604Z.jsonl,6,312952,254134,4755,54063
1,ibg-experiment-20260721T180604Z.jsonl,7,312566,254134,4755,53677
1,ibg-experiment-20260721T180604Z.jsonl,8,312070,254134,4755,53181
1,ibg-experiment-20260721T180604Z.jsonl,9,311923,254134,4755,53034
1,ibg-experiment-20260721T180604Z.jsonl,10,311897,254134,4756,53007
1,ibg-experiment-20260721T180604Z.jsonl,11,311660,254134,4756,52770
1,ibg-experiment-20260721T180604Z.jsonl,12,311549,254134,4756,52659
1,ibg-experiment-20260721T180604Z.jsonl,13,311716,254134,4756,52826
1,ibg-experiment-20260721T180604Z.jsonl,14,311528,254134,4756,52638
1,ibg-experiment-20260721T180604Z.jsonl,15,311475,254134,4756,52585
1,ibg-experiment-20260721T180604Z.jsonl,16,311413,254134,4756,52523
1,ibg-experiment-20260721T180604Z.jsonl,17,311318,254134,4756,52428
1,ibg-experiment-20260721T180604Z.jsonl,18,311250,254134,4756,52360
1,ibg-experiment-20260721T180604Z.jsonl,19,311280,254134,4756,52390
1,ibg-experiment-20260721T180604Z.jsonl,20,311187,254134,4756,52297
1,ibg-experiment-20260721T180604Z.jsonl,21,311249,254134,4756,52359
1,ibg-experiment-20260721T180604Z.jsonl,22,311254,254134,4756,52364
1,ibg-experiment-20260721T180604Z.jsonl,23,311213,254134,4756,52323
2,ibg-experiment-20260721T182435Z.jsonl,1,302383,254035,4720,43628
2,ibg-experiment-20260721T182435Z.jsonl,2,302130,254035,4720,43375
2,ibg-experiment-20260721T182435Z.jsonl,3,302071,254035,4720,43316
2,ibg-experiment-20260721T182435Z.jsonl,4,301694,254035,4720,42939
2,ibg-experiment-20260721T182435Z.jsonl,5,301174,254035,4720,42419
2,ibg-experiment-20260721T182435Z.jsonl,6,301462,254035,4720,42707
2,ibg-experiment-20260721T182435Z.jsonl,7,300709,254035,4720,41954
2,ibg-experiment-20260721T182435Z.jsonl,8,300580,254035,4720,41825
2,ibg-experiment-20260721T182435Z.jsonl,9,300418,254035,4720,41663
2,ibg-experiment-20260721T182435Z.jsonl,10,299932,254035,4721,41176
2,ibg-experiment-20260721T182435Z.jsonl,11,299980,254035,4721,41224
2,ibg-experiment-20260721T182435Z.jsonl,12,299678,254035,4721,40922
2,ibg-experiment-20260721T182435Z.jsonl,13,299974,254035,4721,41218
2,ibg-experiment-20260721T182435Z.jsonl,14,299737,254035,4721,40981
2,ibg-experiment-20260721T182435Z.jsonl,15,299748,254035,4721,40992
2,ibg-experiment-20260721T182435Z.jsonl,16,299754,254035,4721,40998
2,ibg-experiment-20260721T182435Z.jsonl,17,299539,254035,4721,40783
2,ibg-experiment-20260721T182435Z.jsonl,18,299604,254035,4721,40848
3,ibg-experiment-20260721T185103Z.jsonl,1,302328,254043,4720,43565
3,ibg-experiment-20260721T185103Z.jsonl,2,301615,254043,4720,42852
3,ibg-experiment-20260721T185103Z.jsonl,3,301767,254043,4720,43004
3,ibg-experiment-20260721T185103Z.jsonl,4,301397,254043,4720,42634
3,ibg-experiment-20260721T185103Z.jsonl,5,301258,254043,4720,42495
3,ibg-experiment-20260721T185103Z.jsonl,6,301190,254043,4720,42427
3,ibg-experiment-20260721T185103Z.jsonl,7,300780,254043,4720,42017
3,ibg-experiment-20260721T185103Z.jsonl,8,300623,254043,4720,41860
3,ibg-experiment-20260721T185103Z.jsonl,9,300453,254043,4720,41690
3,ibg-experiment-20260721T185103Z.jsonl,10,300055,254043,4721,41291
3,ibg-experiment-20260721T185103Z.jsonl,11,299919,254043,4721,41155
3,ibg-experiment-20260721T185103Z.jsonl,12,299796,254043,4721,41032
3,ibg-experiment-20260721T185103Z.jsonl,13,299830,254043,4721,41066
3,ibg-experiment-20260721T185103Z.jsonl,14,299738,254043,4721,40974
3,ibg-experiment-20260721T185103Z.jsonl,15,299901,254043,4721,41137
3,ibg-experiment-20260721T185103Z.jsonl,16,299661,254043,4721,40897
3,ibg-experiment-20260721T185103Z.jsonl,17,299694,254043,4721,40930
3,ibg-experiment-20260721T185103Z.jsonl,18,299465,254043,4721,40701
3,ibg-experiment-20260721T185103Z.jsonl,19,299784,254043,4721,41020
3,ibg-experiment-20260721T185103Z.jsonl,20,299583,254043,4721,40819
3,ibg-experiment-20260721T185103Z.jsonl,21,299638,254043,4721,40874
3,ibg-experiment-20260721T185103Z.jsonl,22,299516,254043,4721,40752
4,ibg-experiment-20260721T191126Z.jsonl,1,330979,254286,4791,71902
4,ibg-experiment-20260721T191126Z.jsonl,2,330978,254286,4791,71901
4,ibg-experiment-20260721T191126Z.jsonl,3,330016,254286,4791,70939
4,ibg-experiment-20260721T191126Z.jsonl,4,329811,254286,4791,70734
4,ibg-experiment-20260721T191126Z.jsonl,5,328986,254286,4791,69909
4,ibg-experiment-20260721T191126Z.jsonl,6,328464,254286,4791,69387
4,ibg-experiment-20260721T191126Z.jsonl,7,326157,254286,4791,67080
4,ibg-experiment-20260721T191126Z.jsonl,8,325077,254286,4791,66000
4,ibg-experiment-20260721T191126Z.jsonl,9,325182,254286,4791,66105
4,ibg-experiment-20260721T191126Z.jsonl,10,322406,254286,4792,63328
4,ibg-experiment-20260721T191126Z.jsonl,11,323372,254286,4792,64294
4,ibg-experiment-20260721T191126Z.jsonl,12,322416,254286,4792,63338
4,ibg-experiment-20260721T191126Z.jsonl,13,322479,254286,4792,63401
4,ibg-experiment-20260721T191126Z.jsonl,14,321795,254286,4792,62717
4,ibg-experiment-20260721T191126Z.jsonl,15,321639,254286,4792,62561
4,ibg-experiment-20260721T191126Z.jsonl,16,321649,254286,4792,62571
4,ibg-experiment-20260721T191126Z.jsonl,17,320754,254286,4792,61676
5,ibg-experiment-20260721T191634Z.jsonl,1,313976,254286,4755,54935
5,ibg-experiment-20260721T191634Z.jsonl,2,313817,254286,4755,54776
5,ibg-experiment-20260721T191634Z.jsonl,3,313538,254286,4755,54497
5,ibg-experiment-20260721T191634Z.jsonl,4,313161,254286,4755,54120
5,ibg-experiment-20260721T191634Z.jsonl,5,312927,254286,4755,53886
5,ibg-experiment-20260721T191634Z.jsonl,6,312496,254286,4755,53455
5,ibg-experiment-20260721T191634Z.jsonl,7,312432,254286,4755,53391
5,ibg-experiment-20260721T191634Z.jsonl,8,312180,254286,4755,53139
5,ibg-experiment-20260721T191634Z.jsonl,9,311719,254286,4755,52678
5,ibg-experiment-20260721T191634Z.jsonl,10,311719,254286,4756,52677
5,ibg-experiment-20260721T191634Z.jsonl,11,311628,254286,4756,52586
5,ibg-experiment-20260721T191634Z.jsonl,12,311572,254286,4756,52530
6,ibg-experiment-20260721T192135Z.jsonl,1,302510,254286,4720,43504
6,ibg-experiment-20260721T192135Z.jsonl,2,301860,254286,4720,42854
6,ibg-experiment-20260721T192135Z.jsonl,3,301725,254286,4720,42719
6,ibg-experiment-20260721T192135Z.jsonl,4,301702,254286,4720,42696
6,ibg-experiment-20260721T192135Z.jsonl,5,301372,254286,4720,42366
6,ibg-experiment-20260721T192135Z.jsonl,6,300960,254286,4720,41954
6,ibg-experiment-20260721T192135Z.jsonl,7,300662,254286,4720,41656
6,ibg-experiment-20260721T192135Z.jsonl,8,300363,254286,4720,41357
6,ibg-experiment-20260721T192135Z.jsonl,9,300621,254286,4720,41615
6,ibg-experiment-20260721T192135Z.jsonl,10,300316,254286,4721,41309
6,ibg-experiment-20260721T192135Z.jsonl,11,300192,254286,4721,41185
6,ibg-experiment-20260721T192135Z.jsonl,12,300114,254286,4721,41107
6,ibg-experiment-20260721T192135Z.jsonl,13,299893,254286,4721,40886
6,ibg-experiment-20260721T192135Z.jsonl,14,299905,254286,4721,40898
7,ibg-experiment-20260721T193017Z.jsonl,1,330829,254286,4791,71752
7,ibg-experiment-20260721T193017Z.jsonl,2,330662,254286,4791,71585
7,ibg-experiment-20260721T193017Z.jsonl,3,329714,254286,4791,70637
7,ibg-experiment-20260721T193017Z.jsonl,4,329299,254286,4791,70222
7,ibg-experiment-20260721T193017Z.jsonl,5,328430,254286,4791,69353
7,ibg-experiment-20260721T193017Z.jsonl,6,327064,254286,4791,67987
7,ibg-experiment-20260721T193017Z.jsonl,7,323666,254286,4791,64589
7,ibg-experiment-20260721T193017Z.jsonl,8,324048,254286,4791,64971
7,ibg-experiment-20260721T193017Z.jsonl,9,323610,254286,4791,64533
7,ibg-experiment-20260721T193017Z.jsonl,10,322426,254286,4792,63348
7,ibg-experiment-20260721T193017Z.jsonl,11,322430,254286,4792,63352
7,ibg-experiment-20260721T193017Z.jsonl,12,322481,254286,4792,63403
7,ibg-experiment-20260721T193017Z.jsonl,13,322540,254286,4792,63462
8,ibg-experiment-20260721T193529Z.jsonl,1,331115,254286,4791,72038
8,ibg-experiment-20260721T193529Z.jsonl,2,330622,254286,4791,71545
8,ibg-experiment-20260721T193529Z.jsonl,3,329768,254286,4791,70691
8,ibg-experiment-20260721T193529Z.jsonl,4,329392,254286,4791,70315
8,ibg-experiment-20260721T193529Z.jsonl,5,328456,254286,4791,69379
8,ibg-experiment-20260721T193529Z.jsonl,6,326840,254286,4791,67763
8,ibg-experiment-20260721T193529Z.jsonl,7,323645,254286,4791,64568
8,ibg-experiment-20260721T193529Z.jsonl,8,324194,254286,4791,65117
8,ibg-experiment-20260721T193529Z.jsonl,9,322704,254286,4791,63627
8,ibg-experiment-20260721T193529Z.jsonl,10,322416,254286,4792,63338
