run,trace,timeslot,admission_ms
1,ibg-experiment-20260721T165822Z-run001.jsonl,1,5553.166438
1,ibg-experiment-20260721T165822Z-run001.jsonl,2,5630.570731
1,ibg-experiment-20260721T165822Z-run001.jsonl,3,5571.70825
1,ibg-experiment-20260721T165822Z-run001.jsonl,4,5549.219708
1,ibg-experiment-20260721T165822Z-run001.jsonl,5,5490.84765
1,ibg-experiment-20260721T165822Z-run001.jsonl,6,5558.303697
1,ibg-experiment-20260721T165822Z-run001.jsonl,7,5596.800549
1,ibg-experiment-20260721T165822Z-run001.jsonl,8,5564.886268
1,ibg-experiment-20260721T165822Z-run001.jsonl,9,5616.383475
1,ibg-experiment-20260721T165822Z-run001.jsonl,10,5588.406596
1,ibg-experiment-20260721T165822Z-run001.jsonl,11,5556.371085
1,ibg-experiment-20260721T165822Z-run001.jsonl,12,5510.543959
1,ibg-experiment-20260721T165822Z-run001.jsonl,13,5656.788341
2,ibg-experiment-20260721T165943Z-run002.jsonl,1,5621.772438
2,ibg-experiment-20260721T165943Z-run002.jsonl,2,5680.237955
2,ibg-experiment-20260721T165943Z-run002.jsonl,3,5585.569354
2,ibg-experiment-20260721T165943Z-run002.jsonl,4,5602.041925
2,ibg-experiment-20260721T165943Z-run002.jsonl,5,5568.299042
2,ibg-experiment-20260721T165943Z-run002.jsonl,6,5663.310373
2,ibg-experiment-20260721T165943Z-run002.jsonl,7,5555.802048
2,ibg-experiment-20260721T165943Z-run002.jsonl,8,5601.024323
2,ibg-experiment-20260721T165943Z-run002.jsonl,9,5494.164982
2,ibg-experiment-20260721T165943Z-run002.jsonl,10,5624.2182
2,ibg-experiment-20260721T165943Z-run002.jsonl,11,5565.764227
2,ibg-experiment-20260721T165943Z-run002.jsonl,12,5621.878082
3,ibg-experiment-20260721T170059Z-run003.jsonl,1,5631.752116
3,ibg-experiment-20260721T170059Z-run003.jsonl,2,5594.84648
3,ibg-experiment-20260721T170059Z-run003.jsonl,3,5601.870988
