300a12,e55fb9,3b5400,573aa4,e5687d,e9c15a,06f36a,00deb5,ad79f5,fc7ba1,e43063,ee37d5
6,6,10,7,10,10,8,8,10,8,10,7
4,1,6,7,8,7,7,7,8,7,7,7
0,0,5,4,5,2,4,6,4,2,4,4
3,1,3,4,5,7,3,6,6,4,4,3
1,0,3,2,12,4,1,1,3,1,1,2
0,1,0,1,6,2,0,2,1,2,2,2
0,0,9,3,2,3,0,0,1,2,3,3
0,0,0,0,1,6,2,3,0,3,1,3
0,0,1,2,3,5,2,0,1,0,1,0
0,0,1,0,0,0,0,0,0,0,0,1
0,,0,0,1,0,0,0,1,0,0,0
0,,0,0,4,0,0,0,0,0,0,2
0,,0,,2,,0,2,0,0,,1
,,,,2,,0,,0,,,0
,,,,0,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
