baseline,replica_01,replica_02,replica_03,replica_04,replica_05,replica_06,replica_07,replica_08,replica_09,replica_10,replica_11,replica_12,replica_13,replica_14,replica_15,replica_16,replica_17,replica_18,replica_19
4820.176512992402,4785.176512992402,4866.176512992402,4763.176512992402,4888.176512992402,4741.176512992402,4839.176512992402,4790.176512992402,4861.176512992402,4768.176512992402,4883.176512992402,4746.176512992402,4834.176512992402,4795.176512992402,4856.176512992402,4773.176512992402,4878.176512992402,4751.176512992402,4900.176512992402,4800.176512992402
4998.676191986233,5040.676191986233,4945.676191986233,5062.676191986233,4923.676191986233,5013.676191986233,4972.676191986233,5035.676191986233,4950.676191986233,5057.676191986233,4928.676191986233,5008.676191986233,4977.676191986233,5030.676191986233,4955.676191986233,5052.676191986233,4933.676191986233,5074.676191986233,4982.676191986233,5025.676191986233
4993.902929996621,4944.902929996621,5053.902929996621,4922.902929996621,5004.902929996621,4971.902929996621,5026.902929996621,4949.902929996621,5048.902929996621,4927.902929996621,5070.902929996621,4976.902929996621,5021.902929996621,4954.902929996621,5043.902929996621,4932.902929996621,5065.902929996621,4981.902929996621,5016.902929996621,4959.902929996621
5151.026445993848,5207.026445993848,5084.026445993848,5229.026445993848,5133.026445993848,5180.026445993848,5111.026445993848,5202.026445993848,5089.026445993848,5224.026445993848,5138.026445993848,5175.026445993848,5116.026445993848,5197.026445993848,5094.026445993848,5219.026445993848,5072.026445993848,5170.026445993848,5121.026445993848,5192.026445993848
5052.767006007998,4989.767006007998,5126.767006007998,5038.767006007998,5077.767006007998,5016.767006007998,5099.767006007998,4994.767006007998,5121.767006007998,4972.767006007998,5072.767006007998,5021.767006007998,5094.767006007998,4999.767006007998,5116.767006007998,4977.767006007998,5067.767006007998,5026.767006007998,5089.767006007998,5004.767006007998
4971.535498988596,5041.535498988596,4961.535498988596,4992.535498988596,4939.535498988596,5014.535498988596,4917.535498988596,5036.535498988596,4895.535498988596,4987.535498988596,4944.535498988596,5009.535498988596,4922.535498988596,5031.535498988596,4900.535498988596,4982.535498988596,4949.535498988596,5004.535498988596,4927.535498988596,5026.535498988596
5147.553214002910,5070.553214002910,5164.553214002910,5119.553214002910,5186.553214002910,5097.553214002910,5208.553214002910,5075.553214002910,5159.553214002910,5124.553214002910,5181.553214002910,5102.553214002910,5203.553214002910,5080.553214002910,5225.553214002910,5129.553214002910,5176.553214002910,5107.553214002910,5198.553214002910,5085.553214002910
5277.101123998291,5290.101123998291,5253.101123998291,5312.101123998291,5231.101123998291,5334.101123998291,5209.101123998291,5356.101123998291,5258.101123998291,5307.101123998291,5236.101123998291,5329.101123998291,5214.101123998291,5351.101123998291,5263.101123998291,5302.101123998291,5241.101123998291,5324.101123998291,5219.101123998291,5346.101123998291
5217.337621012048,5197.337621012048,5248.337621012048,5175.337621012048,5270.337621012048,5153.337621012048,5292.337621012048,5202.337621012048,5243.337621012048,5180.337621012048,5265.337621012048,5158.337621012048,5287.337621012048,5207.337621012048,5238.337621012048,5185.337621012048,5260.337621012048,5163.337621012048,5282.337621012048,5141.337621012048
5160.968872996746,5187.968872996746,5122.968872996746,5209.968872996746,5100.968872996746,5231.968872996746,5149.968872996746,5182.968872996746,5127.968872996746,5204.968872996746,5105.968872996746,5226.968872996746,5083.968872996746,5177.968872996746,5132.968872996746,5199.968872996746,5110.968872996746,5221.968872996746,5088.968872996746,5172.968872996746
5092.657460997711,5058.657460997711,5137.657460997711,5036.657460997711,5159.657460997711,5014.657460997711,5110.657460997711,5063.657460997711,5132.657460997711,5041.657460997711,5154.657460997711,5019.657460997711,5105.657460997711,5068.657460997711,5127.657460997711,5046.657460997711,5149.657460997711,5024.657460997711,5171.657460997711,5073.657460997711
5301.962759005546,5342.962759005546,5249.962759005546,5364.962759005546,5227.962759005546,5315.962759005546,5276.962759005546,5337.962759005546,5254.962759005546,5359.962759005546,5232.962759005546,5381.962759005546,5281.962759005546,5332.962759005546,5259.962759005546,5354.962759005546,5237.962759005546,5376.962759005546,5286.962759005546,5327.962759005546
5200.415818015172,5152.415818015172,5259.415818015172,5130.415818015172,5210.415818015172,5179.415818015172,5232.415818015172,5157.415818015172,5254.415818015172,5135.415818015172,5276.415818015172,5184.415818015172,5227.415818015172,5162.415818015172,5249.415818015172,5140.415818015172,5271.415818015172,5189.415818015172,5222.415818015172,5167.415818015172
5276.670198004940,5331.670198004940,5210.670198004940,5353.670198004940,5259.670198004940,5304.670198004940,5237.670198004940,5326.670198004940,5215.670198004940,5348.670198004940,5264.670198004940,5299.670198004940,5242.670198004940,5321.670198004940,5220.670198004940,5343.670198004940,5198.670198004940,5294.670198004940,5247.670198004940,5316.670198004940
5286.455341994515,5224.455341994515,5359.455341994515,5273.455341994515,5310.455341994515,5251.455341994515,5332.455341994515,5229.455341994515,5354.455341994515,5207.455341994515,5305.455341994515,5256.455341994515,5327.455341994515,5234.455341994515,5349.455341994515,5212.455341994515,5300.455341994515,5261.455341994515,5322.455341994515,5239.455341994515
5180.662997999680,5149.662997999680,5100.662997999680,5100.662997999680,5149.662997999680,5122.662997999680,5127.662997999680,5144.662997999680,5105.662997999680,5095.662997999680,5154.662997999680,5117.662997999680,5132.662997999680,5139.662997999680,5110.662997999680,5090.662997999680,5159.662997999680,5112.662997999680,5137.662997999680,5134.662997999680
5259.275756999996,5183.275756999996,5275.275756999996,5232.275756999996,5297.275756999996,5210.275756999996,5319.275756999996,5188.275756999996,5270.275756999996,5237.275756999996,5292.275756999996,5215.275756999996,5314.275756999996,5193.275756999996,5336.275756999996,5242.275756999996,5287.275756999996,5220.275756999996,5309.275756999996,5198.275756999996
5101.934299010754,5113.934299010754,5078.934299010754,5135.934299010754,5056.934299010754,5157.934299010754,5034.934299010754,5179.934299010754,5083.934299010754,5130.934299010754,5061.934299010754,5152.934299010754,5039.934299010754,5174.934299010754,5088.934299010754,5125.934299010754,5066.934299010754,5147.934299010754,5044.934299010754,5169.934299010754
5124.629897008999,5105.629897008999,5154.629897008999,5083.629897008999,5176.629897008999,5061.629897008999,5198.629897008999,5110.629897008999,5149.629897008999,5088.629897008999,5171.629897008999,5066.629897008999,5193.629897008999,5044.629897008999,5144.629897008999,5093.629897008999,5166.629897008999,5071.629897008999,5188.629897008999,5049.629897008999
5297.142293996440,5323.142293996440,5260.142293996440,5345.142293996440,5238.142293996440,5367.142293996440,5287.142293996440,5318.142293996440,5265.142293996440,5340.142293996440,5243.142293996440,5362.142293996440,5221.142293996440,5313.142293996440,5270.142293996440,5335.142293996440,5248.142293996440,5357.142293996440,5226.142293996440,5308.142293996440
5302.372297002803,5269.372297002803,5346.372297002803,5247.372297002803,5368.372297002803,5225.372297002803,5319.372297002803,5274.372297002803,5341.372297002803,5252.372297002803,5363.372297002803,5230.372297002803,5314.372297002803,5279.372297002803,5336.372297002803,5257.372297002803,5358.372297002803,5235.372297002803,5380.372297002803,5284.372297002803
5210.365110011408,5250.365110011408,5159.365110011408,5272.365110011408,5137.365110011408,5223.365110011408,5186.365110011408,5245.365110011408,5164.365110011408,5267.365110011408,5142.365110011408,5289.365110011408,5191.365110011408,5240.365110011408,5169.365110011408,5262.365110011408,5147.365110011408,5284.365110011408,5196.365110011408,5235.365110011408
5181.970222997479,5134.970222997479,5239.970222997479,5112.970222997479,5261.970222997479,5161.970222997479,5212.970222997479,5139.970222997479,5234.970222997479,5117.970222997479,5256.970222997479,5166.970222997479,5207.970222997479,5144.970222997479,5229.970222997479,5122.970222997479,5251.970222997479,5171.970222997479,5202.970222997479,5149.970222997479
4988.116060008397,5062.116060008397,4903.116060008397,5084.116060008397,4952.116060008397,5035.116060008397,4930.116060008397,5057.116060008397,4908.116060008397,5079.116060008397,4957.116060008397,5030.116060008397,4935.116060008397,5052.116060008397,4913.116060008397,5074.116060008397,4891.116060008397,5025.116060008397,4940.116060008397,5047.116060008397
5209.828559990856,5148.828559990856,5281.828559990856,5197.828559990856,5232.828559990856,5175.828559990856,5254.828559990856,5153.828559990856,5276.828559990856,5131.828559990856,5227.828559990856,5180.828559990856,5249.828559990856,5158.828559990856,5271.828559990856,5136.828559990856,5222.828559990856,5185.828559990856,5244.828559990856,5163.828559990856
5343.985971022848,5411.985971022848,5264.985971022848,5362.985971022848,5313.985971022848,5384.985971022848,5291.985971022848,5406.985971022848,5269.985971022848,5357.985971022848,5318.985971022848,5379.985971022848,5296.985971022848,5401.985971022848,5274.985971022848,5423.985971022848,5323.985971022848,5374.985971022848,5301.985971022848,5396.985971022848
5293.639799994198,5218.639799994198,5308.639799994198,5267.639799994198,5330.639799994198,5245.639799994198,5352.639799994198,5223.639799994198,5303.639799994198,5272.639799994198,5325.639799994198,5250.639799994198,5347.639799994198,5228.639799994198,5369.639799994198,5277.639799994198,5320.639799994198,5255.639799994198,5342.639799994198,5233.639799994198
5123.538421008052,5134.538421008052,5101.538421008052,5156.538421008052,5079.538421008052,5178.538421008052,5057.538421008052,5200.538421008052,5106.538421008052,5151.538421008052,5084.538421008052,5173.538421008052,5062.538421008052,5195.538421008052,5111.538421008052,5146.538421008052,5089.538421008052,5168.538421008052,5067.538421008052,5190.538421008052
5126.179955998159,5108.179955998159,5155.179955998159,5086.179955998159,5177.179955998159,5064.179955998159,5199.179955998159,5113.179955998159,5150.179955998159,5091.179955998159,5172.179955998159,5069.179955998159,5194.179955998159,5047.179955998159,5145.179955998159,5096.179955998159,5167.179955998159,5074.179955998159,5189.179955998159,5052.179955998159
5246.769744000849,5271.769744000849,5210.769744000849,5293.769744000849,5188.769744000849,5315.769744000849,5166.769744000849,5266.769744000849,5215.769744000849,5288.769744000849,5193.769744000849,5310.769744000849,5171.769744000849,5261.769744000849,5220.769744000849,5283.769744000849,5198.769744000849,5305.769744000849,5176.769744000849,5256.769744000849
