e1576d,492a3e,aeccd7,de5370,e1325e,50abbb,664b04,bc9a1c,869339,2ead2a,746b4d,a9ad30,d84e64,e9d3e4,93b7ec,78eced,3351b4,773ae4,601605,ab9ebf,f996b8
2858.7840730015887,2968.8987039936183,2961.0955230037507,2987.640232000631,2993.0799140111776,2970.1763099947857,2936.610016002378,2945.588489010406,2939.5261100090283,2852.8975060035737,2977.9255439953704,2932.292629002477,2960.149552003786,2888.8990089927393,2851.3395940008922,2906.5669799948228,2987.318142011718,2794.264849024403,2846.9055390106223,2951.908328992504,2888.510924989605
2840.332671001379,3072.765242990572,3010.7409610137256,3079.476169998161,3056.3770429981378,3066.6231600008177,2992.848676007343,3016.5370260002237,2998.248310994386,2962.2243220001837,3072.9778140012786,3030.1437110066036,3067.0073949969083,3032.532503011753,2997.1514909885445,3073.503346997386,3084.114176992516,3010.8269229986763,3029.694532990179,3040.1189119930496,2967.6547609943373
3147.6483629958966,3241.9467549971887,3164.4347499914875,3081.4769209919905,3184.030425000019,3217.4431470139825,3191.6182929945353,3142.20593199032,3169.7580799955904,3197.1916119892558,3176.753322997756,3204.9011659983807,3172.7285630041297,3210.5726669943397,3080.3304660131107,3153.224619998655,3204.695000018619,3188.5825030058913,2906.5225020077196,3170.862658002152,3220.0097900059336
3206.9044529854,3230.0340170114214,3188.089940989885,3248.7512930002413,3134.8614640047163,3249.2802859888616,3232.3398870031087,3217.5953309925535,3257.8638209962082,2992.3588880102034,3227.3295710093225,2948.5193629917194,3118.326951986164,3226.0520990112855,2969.8995989857212,3161.550981001783,3188.284347988956,3211.0940559924347,3141.3831029841094,3226.046221998404,2848.9536009966105
3012.1580519863346,3238.539947011377,3260.797833996621,3288.1509409963473,3083.22836401574,3226.3746890003677,3262.9993469928013,3214.4759239964333,3177.2936600101093,3169.005178984735,3204.5285519944446,3222.068373999791,3045.8781640064262,3198.818607999856,3042.81724900291,3235.716069000846,3241.1299690102896,3243.4862039973086,2963.8591260137036,3272.9336079901987,3241.7105770001217
3296.6812119994574,3275.6990390008286,3302.1263220035326,3291.0247729960975,3207.7341209988663,3312.1869029965455,3239.5188610008336,3203.843779996605,3240.1934199989046,3155.8271430022432,3293.185554004667,3268.852723007585,3304.110840999856,3078.8308410029276,3285.1322200004506,3282.9663970042748,3125.883975988545,3172.486747995281,3306.7107620045863,3147.544771998655,3170.555785007382
2925.7543150070705,3295.2226290072576,3325.83916899428,3297.362923998735,3303.810900002718,3163.435598995493,3279.1480300166586,3115.9762649968616,3244.355246000923,3222.529991993797,3233.1771140107594,3087.7773479861207,3194.426344001913,3124.713529998262,3305.16130700933,3287.544766000865,2950.341937015837,3109.8523010060308,3255.1021730015054,3109.601176001961,3276.6770170147356
3319.578678007092,3272.3061909983517,3288.2809479925345,3216.021323996829,3265.9702290021232,3297.6373849906668,3153.705617003725,3309.2673159936385,3345.8570789990335,3288.666936992813,3145.9044940057356,3258.7955070067255,3115.678851991179,3088.725867999601,3257.67823799295,3298.8719140085595,3128.3398370033683,3278.6021130105655,3256.111923992721,2977.107077000328,2924.5577260117716
3189.9639660042158,3120.9621649941982,3272.392061006103,3286.6773000169633,3213.305493984153,3282.156212986665,3302.0202529952076,3290.056442008863,3243.9376179919054,3304.5945369959372,3176.255095984816,3244.2165280027257,3205.7702560033067,3128.1991180058685,3062.479741001953,3210.4490310012625,3260.7095519998256,3312.6042230106395,3239.518105985626,3192.4489409939997,3086.0488039962365
3273.6883050111646,3275.962232999591,3229.380855011259,3248.518265010789,3275.6674169814505,3301.0100019965466,3304.556457997096,3139.255137994114,3100.2348419988994,3235.9705230029067,3245.1654109973606,3175.529817001079,3251.4127020059095,3294.3557139934273,3190.485692994189,3018.2365479996224,3269.6019039995736,3269.714834003098,3177.797885993714,3269.805738009454,3120.134898003089
3347.293200005952,3287.4972450081987,3250.8864269949117,3106.866087000599,3310.8556429961754,,3129.438864998592,3153.6130839886755,3314.78284399971,,3266.7186179988494,3248.5334439989674,3315.8131040073204,3213.6145999921428,3297.8522360045463,3060.3947280015564,3179.6375219929178,2855.2760569928796,3266.670477010921,3291.733001009634,3176.024017997479
2991.9585860025836,3151.0207059910317,3288.329360002608,3329.016282006778,3277.640531008801,,3301.819859007155,3099.4709099923784,3199.6643149996817,,3179.1827030029526,3215.3996010075207,3207.650554990396,3316.323123004695,3289.0628540045145,3294.3405780116154,3257.048219004064,3295.3186349951284,3190.4569810104294,3238.8754800104653,3155.0759550064686
3269.1118950134114,3302.914344003584,3287.0149400005903,3301.8498239981272,3139.2963620019873,,3234.747872000371,,3283.3774070023355,,,3183.133318012624,,,2975.222027997079,3249.6666830193863,3316.4696609947714,3282.8873359995487,3300.7175620060298,,3238.4982570002467
3227.8195719992073,3185.6778309939546,3253.292915995262,,3330.380914008929,,,,3271.8584360082605,,,,,,3208.2711340081732,3254.160277001647,3327.090772001684,3209.7677750044386,3166.0159830026532,,3200.1443930003734
3271.1868490005872,3263.9623049982038,2991.241507013983,,3141.1039570121648,,,,3300.588364007199,,,,,,3269.272465009708,3222.0792339959007,,3292.489645002279,2947.294359002699,,3227.5453359998937
,3258.1882859959296,3271.4525060019514,,3103.4963430011703,,,,3168.353533988993,,,,,,3282.488639999501,3308.7485190045118,,,3278.371631988266,,3255.3743340068468
,3125.341860002736,3241.5060689982784,,3188.9458420028677,,,,,,,,,,3292.1435570024914,3110.932376996134,,,3243.7986499954422,,3225.423154004675
,,,,,,,,,,,,,,3030.6553979954333,3240.1803329940594,,,,,
,,,,,,,,,,,,,,3288.7772950071667,3107.6514510005654,,,,,
,,,,,,,,,,,,,,,3202.4468230011553,,,,,
